class,support,precision,recall,f1,small_N_flag
NEV,84,0.803030303030303,0.6309523809523809,0.7066666666666667,False
SK,82,0.6710526315789473,0.6219512195121951,0.6455696202531646,False
BCC,30,0.5,0.5666666666666667,0.53125,False
AK,10,0.05,0.1,0.06666666666666667,False
ATY,8,0.1111111111111111,0.25,0.15384615384615385,False
MEL,8,0.3333333333333333,0.25,0.2857142857142857,True
SCC,4,0.1111111111111111,0.25,0.15384615384615385,True
ANG,3,0.0,0.0,0.0,True
DF,2,0.0,0.0,0.0,True
