tercile,n_no_quality_aware,accuracy_no_quality_aware,sensitivity_malignant_no_quality_aware,n_quality_aware,accuracy_quality_aware,sensitivity_malignant_quality_aware
low,85,0.7764705882352941,0.6666666666666666,85,0.7294117647058823,0.5238095238095238
mid,93,0.9139784946236559,0.7333333333333333,93,0.9032258064516129,0.6666666666666666
high,53,0.8679245283018868,0.5,53,0.8301886792452831,0.5
