class,support,precision,recall,f1,small_N_flag
NEV,84,0.7580645161290323,0.5595238095238095,0.6438356164383562,False
SK,82,0.6621621621621622,0.5975609756097561,0.6282051282051282,False
BCC,30,0.5161290322580645,0.5333333333333333,0.5245901639344263,False
AK,10,0.07692307692307693,0.2,0.1111111111111111,False
ATY,8,0.0,0.0,0.0,False
MEL,8,0.09523809523809523,0.25,0.13793103448275862,True
SCC,4,0.1111111111111111,0.25,0.15384615384615385,True
ANG,3,0.0,0.0,0.0,True
DF,2,0.0,0.0,0.0,True
