timestamp,variant,quality_aware,fold,n_folds,seed,accuracy,balanced_accuracy,macro_f1,sensitivity_malignant,specificity,auroc,notes
2026-08-19T17:35:57.565538+00:00,channel_gated_preprocessed,False,1,5,42,0.88,0.8576388888888888,0.8663101604278074,0.7777777777777778,0.9375,0.9375,
2026-08-19T18:19:37.808502+00:00,channel_gated_preprocessed,False,2,5,42,0.8367346938775511,0.7515243902439024,0.7277777777777779,0.625,0.8780487804878049,0.8384146341463414,
2026-08-19T19:00:44.435548+00:00,channel_gated_preprocessed,False,3,5,42,0.8225806451612904,0.7916666666666667,0.7064141196728368,0.75,0.8333333333333334,0.9050925925925926,
2026-08-19T19:52:34.421428+00:00,channel_gated_preprocessed,False,4,5,42,0.8428571428571429,0.8024193548387097,0.7138610182088443,0.75,0.8548387096774194,0.7903225806451613,
2026-08-19T20:08:29.297314+00:00,channel_gated_contrastive,False,0,5,42,0.8,0.7465277777777778,0.7619047619047619,0.5555555555555556,0.9375,0.8333333333333333,
2026-08-19T20:22:41.095339+00:00,channel_gated_contrastive,False,1,5,42,0.84,0.8020833333333333,0.8161764705882353,0.6666666666666666,0.9375,0.9236111111111112,
2026-08-19T20:34:11.259584+00:00,channel_gated_contrastive,False,2,5,42,0.8775510204081632,0.725609756097561,0.75,0.5,0.9512195121951219,0.8932926829268293,
2026-08-19T20:45:11.461001+00:00,channel_gated_contrastive,False,3,5,42,0.8709677419354839,0.8726851851851851,0.7789661319073083,0.875,0.8703703703703703,0.9143518518518519,
2026-08-19T20:58:14.673733+00:00,channel_gated_contrastive,False,4,5,42,0.6714285714285714,0.7056451612903225,0.5619047619047619,0.75,0.6612903225806451,0.8004032258064516,
2026-08-19T21:14:10.301873+00:00,channel_gated_optimizerv2,False,0,5,42,0.76,0.7395833333333333,0.7395833333333333,0.6666666666666666,0.8125,0.8263888888888888,
2026-08-19T21:28:22.594090+00:00,channel_gated_optimizerv2,False,1,5,42,0.84,0.8506944444444444,0.8333333333333334,0.8888888888888888,0.8125,0.9027777777777777,
2026-08-19T21:40:01.338435+00:00,channel_gated_optimizerv2,False,2,5,42,0.7959183673469388,0.6265243902439024,0.6265243902439024,0.375,0.8780487804878049,0.701219512195122,
2026-08-19T21:51:06.907033+00:00,channel_gated_optimizerv2,False,3,5,42,0.8709677419354839,0.8194444444444444,0.7615384615384615,0.75,0.8888888888888888,0.9421296296296295,
2026-08-19T22:04:17.414836+00:00,channel_gated_optimizerv2,False,4,5,42,0.8428571428571429,0.747983870967742,0.6918767507002801,0.625,0.8709677419354839,0.8528225806451613,
2026-08-19T22:04:29.184427+00:00,channel_gated_tta,False,0,5,42,0.8,0.7708333333333333,0.7771836007130125,0.6666666666666666,0.875,0.9027777777777778,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:04:31.852683+00:00,channel_gated_tta,False,1,5,42,0.76,0.6909722222222222,0.7023809523809523,0.4444444444444444,0.9375,0.9375,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:04:36.201797+00:00,channel_gated_tta,False,2,5,42,0.8367346938775511,0.7515243902439024,0.7277777777777779,0.625,0.8780487804878049,0.9085365853658536,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:04:40.686289+00:00,channel_gated_tta,False,3,5,42,0.9354838709677419,0.9097222222222222,0.870020964360587,0.875,0.9444444444444444,0.962962962962963,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:04:45.611323+00:00,channel_gated_tta,False,4,5,42,0.8714285714285714,0.8185483870967742,0.7478991596638656,0.75,0.8870967741935484,0.7741935483870968,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:04:54.764294+00:00,channel_gated_multiimage,False,0,5,42,0.84,0.8263888888888888,0.8263888888888888,0.7777777777777778,0.875,0.8958333333333334,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:05:04.797600+00:00,channel_gated_multiimage,False,1,5,42,0.76,0.6909722222222222,0.7023809523809523,0.4444444444444444,0.9375,0.9583333333333334,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:05:22.684167+00:00,channel_gated_multiimage,False,2,5,42,0.8571428571428571,0.7637195121951219,0.7509077705156136,0.625,0.9024390243902439,0.8871951219512195,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:05:44.424975+00:00,channel_gated_multiimage,False,3,5,42,0.953125,0.9732142857142857,0.9072911636890391,1.0,0.9464285714285714,0.96875,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:06:04.556695+00:00,channel_gated_multiimage,False,4,5,42,0.8591549295774648,0.8115079365079365,0.731060606060606,0.75,0.873015873015873,0.8174603174603174,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:06:14.101576+00:00,channel_gated_tta_multiimage,False,0,5,42,0.84,0.8263888888888888,0.8263888888888888,0.7777777777777778,0.875,0.9097222222222222,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:06:24.173626+00:00,channel_gated_tta_multiimage,False,1,5,42,0.76,0.6909722222222222,0.7023809523809523,0.4444444444444444,0.9375,0.9583333333333334,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:06:42.485616+00:00,channel_gated_tta_multiimage,False,2,5,42,0.8571428571428571,0.7637195121951219,0.7509077705156136,0.625,0.9024390243902439,0.899390243902439,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:07:04.464969+00:00,channel_gated_tta_multiimage,False,3,5,42,0.953125,0.9732142857142857,0.9072911636890391,1.0,0.9464285714285714,0.96875,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
2026-08-19T22:07:24.913757+00:00,channel_gated_tta_multiimage,False,4,5,42,0.8732394366197183,0.8194444444444444,0.7485242030696576,0.75,0.8888888888888888,0.8055555555555556,"eval-time only, reusing channel_gated_qualityFalse checkpoints, no retraining"
