class,support,precision,recall,f1,small_N_flag
NEV,84,0.7625,0.7261904761904762,0.7439024390243902,False
SK,82,0.7088607594936709,0.6829268292682927,0.6956521739130435,False
BCC,30,0.6538461538461539,0.5666666666666667,0.6071428571428571,False
AK,10,0.06666666666666667,0.1,0.08,False
ATY,8,0.14285714285714285,0.25,0.18181818181818182,False
MEL,8,0.5,0.375,0.42857142857142855,True
SCC,4,0.14285714285714285,0.25,0.18181818181818182,True
ANG,3,0.0,0.0,0.0,True
DF,2,0.0,0.0,0.0,True
